,query,занятость,по должности-лемме,по дополнительному признаку,по условиям,общие фразы
0,фарпост работа владивосток,,,,,общая фраза
1,кофейни вакансии,,,,,общая фраза
2,работа разнорабочие часовой,,Рабочий,,,
3,личный водитель на день,на неполный день,Водитель,,,
4,работа от работодателя персональный водитель,,Водитель,,,
5,мастер подработок,Подработка,,,,
6,работа владивосток фарпост,,,,,общая фраза
7,предлагаю работу на дому,на дому,,,,
8,скачать приложение курьер работа,,Курьер,,,
9,работа финансовым директором,,Директор,,,
10,работа 16 лет,,,,,общая фраза
11,вакансии директор по персоналу,,Директор,,,
12,работа во владивостоке,,,,,общая фраза
13,вакансии в типографии,,,,,общая фраза
14,высокооплачиваемая работа для девушек,,,,,общая фраза
15,вакансии территориальный менеджер,,Менеджер,,,
16,работа или бизнес,,,,,общая фраза
17,яндекс курьер на авто компании,,Курьер,,,
18,вакансии ассистент,,Ассистент,,,
19,помощник бурильщика 5 разряда вакансия,,Помощник,,,
20,работа химиком,,Химик,,,
21,медсестра подработка,Подработка,"Медсестра, медбрат",,,
22,работа персональным водителем в москве,,Водитель,,,
23,работа руководителем отдела продаж,,"Руководитель, начальник",,,
24,сноуборд вакансии,,,,,общая фраза
25,999 работа уборщица,,"Уборщик, горничная",,,
26,водитель категории б межгород вакансии,,Водитель,,,
27,вакансии специалист,,Специалист АХО,,,
28,работа вахтой,Вахта,Вахтер,,,
29,работа помощником руководителя,,"Руководитель, начальник",,,
30,работа директором магазина,,Директор,,,
31,требуется водитель с личным авто,,Водитель,,,
32,водитель категории б на межгород,,Водитель,,,
33,водитель со своим авто,,Водитель,,,
34,озон вакансии в пункт выдачи,,,,,общая фраза
35,найти работу на своем авто,,,,,общая фраза
36,работа в море 2 механик,,Механик,,,
37,работа водителем категории б межгород,,Водитель,,,
38,водитель курьер с легковым автомобилем,,Водитель,,,
39,водитель курьер с личным легковым,,Водитель,,,
40,водитель с личным авто,,Водитель,,,
41,комплектовщик свежие вакансии от работодателя,,Комплектовщик,,,
42,курьер вакансии прямых работодателей,,Курьер,,,
43,работа водителем на своем авто,,Водитель,,,
44,работа водитель грузовых авто,,Водитель,,,
45,работа главным инженером,,Инженер,,,
46,работа на грузовом авто оплата ежедневно,,,,с ежедневной оплатой,
47,работа по специальной оценке условий труда,,Оценщик,,,
48,вакансии водитель курьер на легковой автомобиль,,Водитель,,,
49,водитель курьер с личным автомобилем ежедневная,,Водитель,,с ежедневной оплатой,
50,грузчик комплектовщик вакансии от прямых,,Грузчик,,,
51,комплектовщик вакансии от прямых работодателей,,Комплектовщик,,,
52,курьер с личным легковым автомобилем вакансии,,Курьер,,,
53,работа вакансии кладовщика,,Кладовщик,,,
54,работа курьер на авто ежедневные выплаты,,Курьер,,с ежедневной оплатой,
55,работа на грузовой авто,,,,,общая фраза
56,фарпост владивосток вакансии,,,,,общая фраза
57,вакансии кладовщика от прямых работодателей,,Кладовщик,,,
58,вакансии курьер на авто ежедневные выплаты,,Курьер,,с ежедневной оплатой,
59,вакансия водитель курьер,,Водитель,,,
60,водитель курьер на авто компании 2 2,,Водитель,,,
61,водитель курьер с личным легковым автомобилем,,Водитель,,,
62,ищу работу водитель грузовых автомобилей,,Водитель,,,
63,комплектовщик вакансии от работодателя,,Комплектовщик,,,
64,комплектовщик вакансии с ежедневной оплатой,,Комплектовщик,,с ежедневной оплатой,
65,курьер вакансии от прямых,,Курьер,,,
66,работа водитель со своим грузовым автомобилем,,Водитель,,,
67,работа грузовые автомобили,,,,,общая фраза
