query,занятость,по должности-лемме,по дополнительному признаку,по условиям,общие фразы
фарпост работа владивосток,NaN,NaN,NaN,NaN,1
кофейни вакансии,NaN,NaN,NaN,NaN,1
работа разнорабочие часовой,NaN,рабочий,NaN,NaN,0
личный водитель на день,['на неполный день'],водитель,NaN,NaN,0
работа от работодателя персональный водитель,NaN,водитель,NaN,NaN,0
мастер подработок,['подработка'],NaN,NaN,NaN,0
работа владивосток фарпост,NaN,NaN,NaN,NaN,1
предлагаю работу на дому,['на дому'],NaN,NaN,NaN,0
скачать приложение курьер работа,NaN,курьер,NaN,NaN,0
работа финансовым директором,NaN,директор,NaN,NaN,0
работа 16 лет,NaN,NaN,NaN,NaN,1
вакансии директор по персоналу,NaN,директор,NaN,NaN,0
работа во владивостоке,NaN,NaN,NaN,NaN,1
вакансии в типографии,NaN,NaN,NaN,NaN,1
высокооплачиваемая работа для девушек,NaN,NaN,NaN,NaN,1
вакансии территориальный менеджер,NaN,менеджер,NaN,NaN,0
работа или бизнес,NaN,NaN,NaN,NaN,1
яндекс курьер на авто компании,NaN,курьер,NaN,NaN,0
вакансии ассистент,NaN,ассистент,NaN,NaN,0
помощник бурильщика 5 разряда вакансия,NaN,помощник,NaN,NaN,0
работа химиком,NaN,химик,NaN,NaN,0
медсестра подработка,['подработка'],"медсестра, медбрат",NaN,NaN,0
работа персональным водителем в москве,NaN,водитель,NaN,NaN,0
работа руководителем отдела продаж,NaN,"руководитель, начальник",NaN,NaN,0
сноуборд вакансии,NaN,NaN,NaN,NaN,1
999 работа уборщица,NaN,"уборщик, горничная",NaN,NaN,0
водитель категории б межгород вакансии,NaN,водитель,NaN,NaN,0
вакансии специалист,NaN,специалист ахо,NaN,NaN,0
работа вахтой,['вахта'],вахтер,NaN,NaN,0
работа помощником руководителя,NaN,"руководитель, начальник",NaN,NaN,0
работа директором магазина,NaN,директор,NaN,NaN,0
требуется водитель с личным авто,NaN,водитель,NaN,NaN,0
водитель категории б на межгород,NaN,водитель,NaN,NaN,0
водитель со своим авто,NaN,водитель,NaN,NaN,0
озон вакансии в пункт выдачи,NaN,NaN,NaN,NaN,1
найти работу на своем авто,NaN,NaN,NaN,NaN,1
работа в море 2 механик,NaN,механик,NaN,NaN,0
работа водителем категории б межгород,NaN,водитель,NaN,NaN,0
водитель курьер с легковым автомобилем,NaN,водитель,NaN,NaN,0
водитель курьер с личным легковым,NaN,водитель,NaN,NaN,0
водитель с личным авто,NaN,водитель,NaN,NaN,0
комплектовщик свежие вакансии от работодателя,NaN,комплектовщик,NaN,NaN,0
курьер вакансии прямых работодателей,NaN,курьер,NaN,NaN,0
работа водителем на своем авто,NaN,водитель,NaN,NaN,0
работа водитель грузовых авто,NaN,водитель,NaN,NaN,0
работа главным инженером,NaN,инженер,NaN,NaN,0
работа на грузовом авто оплата ежедневно,NaN,NaN,NaN,с ежедневной оплатой,0
работа по специальной оценке условий труда,NaN,оценщик,NaN,NaN,0
вакансии водитель курьер на легковой автомобиль,NaN,водитель,NaN,NaN,0
водитель курьер с личным автомобилем ежедневная,NaN,водитель,NaN,с ежедневной оплатой,0
грузчик комплектовщик вакансии от прямых,NaN,грузчик,NaN,NaN,0
комплектовщик вакансии от прямых работодателей,NaN,комплектовщик,NaN,NaN,0
курьер с личным легковым автомобилем вакансии,NaN,курьер,NaN,NaN,0
работа вакансии кладовщика,NaN,кладовщик,NaN,NaN,0
работа курьер на авто ежедневные выплаты,NaN,курьер,NaN,с ежедневной оплатой,0
работа на грузовой авто,NaN,NaN,NaN,NaN,1
фарпост владивосток вакансии,NaN,NaN,NaN,NaN,1
вакансии кладовщика от прямых работодателей,NaN,кладовщик,NaN,NaN,0
вакансии курьер на авто ежедневные выплаты,NaN,курьер,NaN,с ежедневной оплатой,0
вакансия водитель курьер,NaN,водитель,NaN,NaN,0
водитель курьер на авто компании 2 2,NaN,водитель,NaN,NaN,0
водитель курьер с личным легковым автомобилем,NaN,водитель,NaN,NaN,0
ищу работу водитель грузовых автомобилей,NaN,водитель,NaN,NaN,0
комплектовщик вакансии от работодателя,NaN,комплектовщик,NaN,NaN,0
комплектовщик вакансии с ежедневной оплатой,NaN,комплектовщик,NaN,с ежедневной оплатой,0
курьер вакансии от прямых,NaN,курьер,NaN,NaN,0
работа водитель со своим грузовым автомобилем,NaN,водитель,NaN,NaN,0
работа грузовые автомобили,NaN,NaN,NaN,NaN,1
работа кладовщик 2 2,NaN,кладовщик,NaN,NaN,0
работа кладовщиком свежие вакансии,NaN,кладовщик,NaN,NaN,0
работа комплектовщик сутки,NaN,комплектовщик,NaN,NaN,0
работа курьером с личным авто,NaN,курьер,NaN,NaN,0
работа на грузовом авто межгород,NaN,NaN,NaN,NaN,1
работа на грузовом автомобиле 5 тонн,NaN,NaN,NaN,NaN,1
работа от работодателей грузчик комплектовщик,NaN,грузчик,NaN,NaN,0
сварщик вахта прямой работодатель свежие вакансии,['вахта'],сварщик,NaN,NaN,0
вакансии вахта комплектовщик 15 15,['вахта'],вахтер,NaN,NaN,0
вакансии водитель курьер на личном,NaN,водитель,NaN,NaN,0
вакансии для мужчин склад,NaN,NaN,['для мужчин'],NaN,0
вакансии доставка на своем автомобиле,NaN,NaN,NaN,NaN,1
вакансии кладовщик без опыта работы,NaN,кладовщик,['без опыта'],NaN,0
вакансии кладовщика от прямых,NaN,кладовщик,NaN,NaN,0
вакансии кладовщика от работодателя,NaN,кладовщик,NaN,NaN,0
водитель курьер с личным автомобилем вакансии,NaN,водитель,NaN,NaN,0
водитель курьер с личным легковым автомобилем вакансии,NaN,водитель,NaN,NaN,0
ищу работу на грузовых авто,NaN,NaN,NaN,NaN,1
курьер без авто вакансии,NaN,курьер,NaN,NaN,0
курьер без автомобиля,NaN,курьер,NaN,NaN,0
работа в автомойке,NaN,NaN,NaN,NaN,1
работа в ночную смену для девушек,['ночная'],NaN,NaN,NaN,0
работа водителем курьером на авто работодателя,NaN,водитель,NaN,NaN,0
работа водитель курьер на легковом автомобиле,NaN,водитель,NaN,NaN,0
работа грузчик комплектовщик без вахты,['вахта'],грузчик,NaN,NaN,0
работа женщина кладовщик,NaN,кладовщик,['для женщин'],NaN,0
работа кладовщиком от 50000,NaN,кладовщик,NaN,NaN,0
работа комплектовщик упаковщик,NaN,комплектовщик,NaN,NaN,0
работа комплектовщиком сутки трое,NaN,комплектовщик,NaN,NaN,0
работа на грузовом автомобиле и область,NaN,NaN,NaN,NaN,1
работа фасовщик упаковщик комплектовщик,NaN,фасовщик,NaN,NaN,0
свежие вакансии курьером на личном авто,NaN,курьер,NaN,NaN,0
склад вакансии прямой работодатель,NaN,NaN,NaN,NaN,1
сколько стоит час работы уборщицы,NaN,"уборщик, горничная",NaN,NaN,0
авто вакансии курьер,NaN,курьер,NaN,NaN,0
авто доставка курьером вакансии,NaN,курьер,NaN,NaN,0
вакансии водитель курьер на авто работодателя,NaN,водитель,NaN,NaN,0
вакансии комплектовщик сменный график работы,NaN,комплектовщик,NaN,NaN,0
вакансии на складе для женщин,NaN,NaN,['для женщин'],NaN,0
вакансии работы курьером на личном авто,NaN,курьер,NaN,NaN,0
вакансии работы курьером на личном автомобиле,NaN,курьер,NaN,NaN,0
вакансии склад и область,NaN,NaN,NaN,NaN,1
вакансия автокурьер,NaN,NaN,NaN,NaN,1
