"работа курьер на неполный день","на неполный день","Курьер","NaN","NaN"
"вакансии помощник на дому","на дому","Помощник","NaN","NaN"
"работа вахтер вахта с проживанием","Вахта","Вахтер","NaN","с проживанием"
"модератор подработка для студентов","Подработка","Модератор","для студентов","NaN"
"вакансии грузчик для мужчин","NaN","Грузчик","для мужчин","NaN"
"работа кладовщик ночная с ежедневной оплатой","Ночная","Кладовщик","NaN","с ежедневной оплатой"
"уборщик горничная с проживанием","NaN","Уборщик, горничная","NaN","с проживанием"
"вакансии врач на неполный день для женщин","на неполный день","Врач","для женщин","NaN"
"специалист ахо подработка","Подработка","Специалист АХО","NaN","NaN"
"работа юрист на дому для пенсионеров","на дому","Юрист","для пенсионеров","NaN"
"медсестра медбрат вахта для женщин","Вахта","Медсестра, медбрат","для женщин","NaN"
"сварщик по выходным для мужчин","по выходным","Сварщик","для мужчин","NaN"
"инженер на неполный день для инвалидов","на неполный день","Инженер","для инвалидов","NaN"
"работа слесарь с ежедневной оплатой","NaN","Слесарь","NaN","с ежедневной оплатой"
"тренер подработка для студентов","Подработка","Тренер","для студентов","NaN"
"дизайнер удаленная работа","Удаленная","Дизайнер","NaN","NaN"
"охранник ночная с проживанием","Ночная","Охранник","NaN","с проживанием"
"монтажник вахта для мужчин","Вахта","Монтажник","для мужчин","NaN"
"вакансии администратор на неполный день","на неполный день","Администратор","NaN","NaN"
"работа рабочий по выходным с ежедневной оплатой","по выходным","Рабочий","NaN","с ежедневной оплатой"
"машинист на неполный день для инвалидов","на неполный день","Машинист","для инвалидов","NaN"
"руководитель начальник на дому","на дому","Руководитель, начальник","NaN","NaN"
"пивовар вахта для мужчин с проживанием","Вахта","Пивовар","для мужчин","с проживанием"
"продавец подработка для женщин","Подработка","Продавец","для женщин","NaN"
"менеджер на неполный день с ежедневной оплатой","на неполный день","Менеджер","NaN","с ежедневной оплатой"
"преподаватель на дому для студентов","на дому","Преподаватель","для студентов","NaN"
"массажист для мужчин","NaN","Массажист","для мужчин","NaN"
"няня по выходным для женщин","по выходным","Няня","для женщин","NaN"
"инструктор вахта для пенсионеров","Вахта","Инструктор","для пенсионеров","NaN"
"электрик ночная для инвалидов","Ночная","Электрик","для инвалидов","NaN"
"учитель на неполный день для студентов","на неполный день","Учитель","для студентов","NaN"
"швея на дому с ежедневной оплатой","на дому","Швея","NaN","с ежедневной оплатой"
"сборщик с проживанием для женщин","NaN","Сборщик","для женщин","с проживанием"
"парикмахер на неполный день для пенсионеров","на неполный день","Парикмахер","для пенсионеров","NaN"
"кухонный работник для мужчин с проживанием","NaN","Кухонный работник","для мужчин","с проживанием"
"маляр подработка для инвалидов","Подработка","Маляр","для инвалидов","NaN"
"сторож вахта для женщин с проживанием","Вахта","Сторож","для женщин","с проживанием"
"зоотехник ночная для студентов","Ночная","Зоотехник","для студентов","NaN"
"электромонтер на неполный день с ежедневной оплатой","на неполный день","Электромонтер","NaN","с ежедневной оплатой"
"логист удаленная работа для женщин","Удаленная","Логист","для женщин","NaN"
"бортпроводник вахта с проживанием","Вахта","Бортпроводник","NaN","с проживанием"
"комплектовщик подработка для пенсионеров","Подработка","Комплектовщик","для пенсионеров","NaN"
"переводчик по выходным с ежедневной оплатой","по выходным","Переводчик","NaN","с ежедневной оплатой"
"токарь ночная для инвалидов","Ночная","Токарь","для инвалидов","NaN"
"домработница домработник на дому с проживанием","на дому","Домработница, домработник","NaN","с проживанием"
"копирайтер удаленная работа для студентов","Удаленная","Копирайтер","для студентов","NaN"
"механик вахта для мужчин с проживанием","Вахта","Механик","для мужчин","с проживанием"
"установщик подработка для инвалидов","Подработка","Установщик","для инвалидов","NaN"
"программист на неполный день для женщин","на неполный день","Программист","для женщин","NaN"
"фотограф с ежедневной оплатой для студентов","NaN","Фотограф","для студентов","с ежедневной оплатой"
"дворник по выходным с проживанием","по выходным","Дворник","NaN","с проживанием"
"сиделка на неполный день для женщин","на неполный день","Сиделка","для женщин","NaN"
"психолог на дому для студентов","на дому","Психолог","для студентов","NaN"
"плотник по выходным для мужчин","по выходным","Плотник","для мужчин","NaN"
"диспетчер ночная для пенсионеров","Ночная","Диспетчер","для пенсионеров","NaN"
"косметолог подработка с ежедневной оплатой","Подработка","Косметолог","NaN","с ежедневной оплатой"
"матрос вахта для студентов","Вахта","Матрос","для студентов","NaN"
"смотритель с проживанием для инвалидов","NaN","Смотритель","для инвалидов","с проживанием"
"штукатур на неполный день для мужчин","на неполный день","Штукатур","для мужчин","NaN"
"ассистент подработка для женщин","Подработка","Ассистент","для женщин","NaN"
"директор удаленная работа для студентов","Удаленная","Директор","для студентов","NaN"
"отделочник по выходным с ежедневной оплатой","по выходным","Отделочник","NaN","с ежедневной оплатой"
"автоэлектрик на неполный день для мужчин","на неполный день","Автоэлектрик","для мужчин","NaN"
"педагог вахта для женщин","Вахта","Педагог","для женщин","NaN"
"модель подработка для студентов","Подработка","Модель","для студентов","NaN"
"проектировщик ночная для инвалидов","Ночная","Проектировщик","для инвалидов","NaN"
"оценщик на неполный день для пенсионеров","на неполный день","Оценщик","для пенсионеров","NaN"
"технолог по выходным для мужчин","по выходным","Технолог","для мужчин","NaN"
"сметчик удаленная работа с проживанием","Удаленная","Сметчик","NaN","с проживанием"
"плиточник ночная для женщин","Ночная","Плиточник","для женщин","NaN"
"репетитор по выходным для студентов","по выходным","Репетитор","для студентов","NaN"
"столяр вахта с проживанием","Вахта","Столяр","NaN","с проживанием"
"мойщик на неполный день для женщин","на неполный день","Мойщик","для женщин","NaN"
"рыбообработчик на дому для пенсионеров","на дому","Рыбообработчик","для пенсионеров","NaN"
"художник подработка с ежедневной оплатой","Подработка","Художник","NaN","с ежедневной оплатой"
"изолировщик на неполный день для мужчин","на неполный день","Изолировщик","для мужчин","NaN"
"маркетолог вахта для женщин","Вахта","Маркетолог","для женщин","NaN"
"вожатый на дому для студентов","на дому","Вожатый","для студентов","NaN"
"фельдшер по выходным для пенсионеров","по выходным","Фельдшер","для пенсионеров","NaN"
"фасовщик удаленная работа для инвалидов","Удаленная","Фасовщик","для инвалидов","NaN"
"артист вахта для мужчин","Вахта","Артист","для мужчин","NaN"
"моторист на неполный день для женщин","на неполный день","Моторист","для женщин","NaN"
"садовник с проживанием для студентов","NaN","Садовник","для студентов","с проживанием"
"бригадир на дому для пенсионеров","на дому","Бригадир","для пенсионеров","NaN"
"электромеханик по выходным для инвалидов","по выходным","Электромеханик","для инвалидов","NaN"
"аудитор ночная с ежедневной оплатой","Ночная","Аудитор","NaN","с ежедневной оплатой"
"санитар на неполный день для женщин","на неполный день","Санитар","для женщин","NaN"
"визажист вахта с проживанием","Вахта","Визажист","NaN","с проживанием"
"геодезист подработка для мужчин","Подработка","Геодезист","для мужчин","NaN"
"полицейский на дому для инвалидов","на дому","Полицейский","для инвалидов","NaN"
"инспектор по выходным для студентов","по выходным","Инспектор","для студентов","NaN"
"пожарный на неполный день для женщин","на неполный день","Пожарный","для женщин","NaN"
"аналитик с проживанием для пенсионеров","NaN","Аналитик","для пенсионеров","с проживанием"
работа няня на неполный день, на неполный день, Няня, NaN, NaN
инструктор подработка для студентов, Подработка, Инструктор, для студентов, NaN
электрик на дому для мужчин, на дому, Электрик, для мужчин, NaN
работа учителем по выходным, по выходным, Учитель, NaN, NaN
швея на неполный день для женщин, на неполный день, Швея, для женщин, NaN
сборщик на дому для инвалидов, на дому, Сборщик, для инвалидов, NaN
парикмахер вахта с проживанием, Вахта, Парикмахер, NaN, с проживанием
кухонный работник ночная для женщин, Ночная, Кухонный работник, для женщин, NaN
маляр подработка с ежедневной оплатой, Подработка, Маляр, NaN, с ежедневной оплатой
сторож на неполный день, на неполный день, Сторож, NaN, NaN
зоотехник вахта, Вахта, Зоотехник, NaN, NaN
электромонтер на дому, на дому, Электромонтер, NaN, NaN
логист ночная для студентов, Ночная, Логист, для студентов, NaN
бортпроводник подработка для женщин, Подработка, Бортпроводник, для женщин, NaN
комплектовщик на неполный день для пенсионеров, на неполный день, Комплектовщик, для пенсионеров, NaN
переводчик по выходным, по выходным, Переводчик, NaN, NaN
токарь на неполный день с проживанием, на неполный день, Токарь, NaN, с проживанием
домработница, домработник подработка, Подработка, Домработница, NaN, NaN
копирайтер удаленная, Удаленная, Копирайтер, NaN, NaN
механик на неполный день, на неполный день, Механик, NaN, NaN
установщик ночная, Ночная, Установщик, NaN, NaN
программист на дому для инвалидов, на дому, Программист, для инвалидов, NaN
фотограф по выходным с проживанием, по выходным, Фотограф, NaN, с проживанием
дворник на неполный день для женщин, на неполный день, Дворник, для женщин, NaN
сиделка на дому с ежедневной оплатой, на дому, Сиделка, NaN, с ежедневной оплатой
психолог подработка для мужчин, Подработка, Психолог, для мужчин, NaN
плотник вахта с проживанием, Вахта, Плотник, NaN, с проживанием
работа няня на дому, на дому, Няня, NaN, NaN
инструктор на неполный день для студентов, на неполный день, Инструктор, для студентов, NaN
электрик на неполный день для пенсионеров, на неполный день, Электрик, для пенсионеров, NaN
работа учителем на дому для женщин, на дому, Учитель, для женщин, NaN
швея ночная с проживанием, Ночная, Швея, NaN, с проживанием
сборщик на неполный день с ежедневной оплатой, на неполный день, Сборщик, NaN, с ежедневной оплатой
парикмахер подработка для студентов, Подработка, Парикмахер, для студентов, NaN
кухонный работник на неполный день для инвалидов, на неполный день, Кухонный работник, для инвалидов, NaN
маляр на дому с ежедневной оплатой, на дому, Маляр, NaN, с ежедневной оплатой
сторож на неполный день для мужчин, на неполный день, Сторож, для мужчин, NaN
зоотехник вахта для женщин, Вахта, Зоотехник, для женщин, NaN
электромонтер на неполный день с проживанием, на неполный день, Электромонтер, NaN, с проживанием
логист удаленная, Удаленная, Логист, NaN, NaN
бортпроводник на дому для студентов, на дому, Бортпроводник, для студентов, NaN
комплектовщик ночная для мужчин, Ночная, Комплектовщик, для мужчин, NaN
переводчик подработка с ежедневной оплатой, Подработка, Переводчик, NaN, с ежедневной оплатой
токарь на неполный день для женщин, на неполный день, Токарь, для женщин, NaN
домработница, домработник ночная с проживанием, Ночная, Домработница, NaN, с проживанием
копирайтер подработка с ежедневной оплатой, Подработка, Копирайтер, NaN, с ежедневной оплатой
механик по выходным, по выходным, Механик, NaN, NaN
установщик на дому, на дому, Установщик, NaN, NaN
программист подработка для инвалидов, Подработка, Программист, для инвалидов, NaN
фотограф вахта с проживанием, Вахта, Фотограф, NaN, с проживанием
дворник на неполный день с ежедневной оплатой, на неполный день, Дворник, NaN, с ежедневной оплатой
сиделка ночная, Ночная, Сиделка, NaN, NaN
психолог удаленная для студентов, Удаленная, Психолог, для студентов, NaN
плотник на дому для мужчин, на дому, Плотник, для мужчин, NaN
работа няня по выходным, по выходным, Няня, NaN, NaN
инструктор на дому для инвалидов, на дому, Инструктор, для инвалидов, NaN
электрик подработка для женщин, Подработка, Электрик, для женщин, NaN
работа учителем на неполный день для пенсионеров, на неполный день, Учитель, для пенсионеров, NaN
швея вахта, Вахта, Швея, NaN, NaN
сборщик на дому для женщин, на дому, Сборщик, для женщин, NaN
парикмахер по выходным, по выходным, Парикмахер, NaN, NaN
кухонный работник на неполный день для пенсионеров, на неполный день, Кухонный работник, для пенсионеров, NaN
маляр подработка для студентов, Подработка, Маляр, для студентов, NaN
сторож вахта с проживанием, Вахта, Сторож, NaN, с проживанием
зоотехник на дому для мужчин, на дому, Зоотехник, для мужчин, NaN
электромонтер ночная для студентов, Ночная, Электромонтер, для студентов, NaN
логист подработка с ежедневной оплатой, Подработка, Логист, NaN, с ежедневной оплатой
бортпроводник на неполный день, на неполный день, Бортпроводник, NaN, NaN
комплектовщик по выходным, по выходным, Комплектовщик, NaN, NaN
